X,Monthly.hours.worked.in.all.jobs....Persons..,Monthly.hours.worked.in.all.jobs....Persons...1,Monthly.hours.worked.in.all.jobs......Males..,Monthly.hours.worked.in.all.jobs......Males...1,Monthly.hours.worked.in.all.jobs......Females..,Monthly.hours.worked.in.all.jobs......Females...1,X..Monthly.hours.worked.in.all.jobs..employed.full.time.....Persons..,X..Monthly.hours.worked.in.all.jobs..employed.full.time.....Persons...1,X..Monthly.hours.worked.in.all.jobs..employed.full.time.......Males..,X..Monthly.hours.worked.in.all.jobs..employed.full.time.......Males...1,X..Monthly.hours.worked.in.all.jobs..employed.full.time.......Females..,X..Monthly.hours.worked.in.all.jobs..employed.full.time.......Females...1,X..Monthly.hours.worked.in.all.jobs..employed.part.time.....Persons..,X..Monthly.hours.worked.in.all.jobs..employed.part.time.....Persons...1,X..Monthly.hours.worked.in.all.jobs..employed.part.time.......Males..,X..Monthly.hours.worked.in.all.jobs..employed.part.time.......Males...1,X..Monthly.hours.worked.in.all.jobs..employed.part.time.......Females..,X..Monthly.hours.worked.in.all.jobs..employed.part.time.......Females...1,Monthly.hours.worked.in.all.jobs......New.South.Wales..,Monthly.hours.worked.in.all.jobs......New.South.Wales...1,Monthly.hours.worked.in.all.jobs......Victoria..,Monthly.hours.worked.in.all.jobs......Victoria...1,Monthly.hours.worked.in.all.jobs......Queensland..,Monthly.hours.worked.in.all.jobs......Queensland...1,Monthly.hours.worked.in.all.jobs......South.Australia..,Monthly.hours.worked.in.all.jobs......South.Australia...1,Monthly.hours.worked.in.all.jobs......Western.Australia..,Monthly.hours.worked.in.all.jobs......Western.Australia...1,Monthly.hours.worked.in.all.jobs......Tasmania..,Monthly.hours.worked.in.all.jobs......Tasmania...1,Monthly.hours.worked.in.all.jobs......Northern.Territory..,Monthly.hours.worked.in.all.jobs......Australian.Capital.Territory..
Nov-81,964948.2,956544.9,670052.7,665959.2,294895.5,290585.6,898700.4,890401.3,656165.3,652183.5,242535.1,238217.7,66247.8,66143.6,13887.4,13775.7,52360.4,52367.9,340816.1,336056.4,257321.5,253501,150368.7,148476.7,83818.4,83999.8,85585.3,85515.2,25627.3,25550.3,8902.7,14475.6
Dec-81,965647.6,968465.1,670853.6,673259.2,294794,295205.9,899691.4,903082.9,657047.2,659634.8,242644.1,243448.1,65956.2,65382.2,13806.3,13624.4,52149.9,51757.8,340570.4,340351.2,257161.7,256671.4,151077.9,152798.8,83673.5,83762.4,85737.4,86096.2,25552.3,25613.9,8821.1,14446
Jan-82,966063.7,965957.1,671804.3,671009.2,294259.4,294948,900169.4,900717.4,657879.2,657539.9,242290.3,243177.4,65894.3,65239.8,13925.1,13469.2,51969.2,51770.6,340118.1,341583.4,256916.7,256880.4,151793.6,148389.9,83569.3,83017.1,85957.2,86515.1,25399,25333.6,8749.1,14423.4
Feb-82,965645,967571.6,672289,674118.3,293356,293453.3,899589.3,901788.8,658075.3,660027,241514.1,241761.8,66055.7,65782.8,14213.8,14091.4,51841.9,51691.4,339356.3,338642.8,256458.5,257015.3,152311,153910.5,83509.2,83536.7,86102.8,85966.6,25183.5,25310.7,8720.5,14383.9
Mar-82,964143.7,966395.4,671834,674031.3,292309.7,292364.2,897732.1,899020.6,657217.8,659313.9,240514.3,239706.7,66411.7,67374.8,14616.3,14717.3,51795.4,52657.5,338478.8,338911.5,255823.8,257140.4,152461.5,153011.2,83395.1,83706.1,86082.8,85770.2,24964.7,25015.2,8740.9,14316.6
Apr-82,961663.3,959370.3,670380.3,668937.5,291283,290432.8,894848,892178.6,655359.4,653252.7,239488.6,238925.9,66815.3,67191.7,15020.9,15684.8,51794.5,51506.9,337668.9,336185.6,255057.1,255043.5,152195,151308.2,83136.5,83180.2,85927.1,85798.8,24779.3,24748.5,8793.8,14226.8
May-82,958537.9,958060.3,668112.4,667556.1,290425.5,290504.2,891359.1,890797.4,652783.9,652296.6,238575.2,238500.8,67178.8,67262.9,15328.6,15259.5,51850.2,52003.4,336828.5,338079.1,254213.2,251951.2,151640.6,151037.4,82756,83022.8,85669.8,86427.3,24636.4,24407.5,8842.4,14120.2
Jun-82,955361.9,953978.2,665459.9,664458.6,289902,289519.6,887877.1,887143.1,649935.9,648930,237941.2,238213,67484.8,66835.2,15524,15528.5,51960.8,51306.6,335942.1,334052.8,253369,253617.6,151062.4,151202.4,82344.5,82390,85447.8,85532.6,24536.2,24316.1,8865.3,14021.3
Jul-82,952379,953558.8,662693.7,663685.3,289685.3,289873.5,884523.9,885882.6,647002.6,648283.6,237521.3,237599,67855.1,67676.2,15691.1,15401.7,52164.1,52274.5,334765.5,335000.6,252466.7,252890.4,150702.1,152050.7,81967.8,81845.5,85288.1,84366.3,24461.4,24781.9,8850.6,13953.2
Aug-82,949111.8,948852.5,659590.7,659268.5,289521.1,289584,880797.8,879866.5,643719.7,643105.3,237078.1,236761.2,68314,68986,15871,16163.2,52443,52822.9,333061.9,334873.2,251330.1,251931,150557.8,148904.5,81654.3,80718.3,85195.5,85111.7,24378.3,24604.6,8800.8,13936.6
Sep-82,945099.1,944789.3,655921.1,656246.8,289178,288542.4,876275.4,876997,639839.8,640829.1,236435.6,236167.8,68823.7,67792.3,16081.3,15417.7,52742.4,52374.6,330752.9,331567.9,249859.8,250680.5,150525.5,148676.1,81368.6,81378.6,85160,85658.8,24270.7,24064.7,8722.5,13962.4
Oct-82,940206.6,950638.4,651591.2,660089.4,288615.4,290549,870900.3,880255.8,635291.4,643571.6,235608.9,236684.2,69306.4,70382.6,16299.8,16517.7,53006.5,53864.8,328028.3,326781.5,248096.1,254829.6,150431.6,153762.1,81050,83010.4,85165.4,84867.6,24141.6,24220.4,8628.4,14015.5
Nov-82,934764.3,936741.7,646928.4,648619.7,287835.9,288122,865113.2,867236.5,630466.6,631678.2,234646.6,235558.3,69651,69505.2,16461.8,16941.5,53189.3,52563.7,325275.8,326084.1,246228.2,245295.9,150147.3,151937,80636.2,81028.9,85135.8,85627.7,24023,23935.8,8547.6,14081.7
Dec-82,929392.9,927362.9,642407.5,641858.8,286985.4,285504.1,859598.4,856648.8,625884.5,625103.4,233713.9,231545.3,69794.5,70714.2,16522.9,16755.4,53271.5,53958.8,322960,321336.9,244515.9,244178.6,149520.7,150232.4,80175.4,79724.2,85008,84842.9,23935.5,23902.3,8497,14148.7
Jan-83,924604.7,919376.1,638426.4,634630,286178.3,284746.1,854885.2,850996.4,621925.7,618859.4,232959.5,232137,69719.5,68379.7,16500.7,15770.6,53218.8,52609.1,321273.1,321020.2,243173.1,242612.3,148547.4,147555.8,79735.9,79263.8,84784.9,82396,23900.7,23847.9,8485.2,14213.6
Feb-83,920776.1,920769.5,635248,634548.4,285528.1,286221.1,851324.8,850610.7,618833.6,617816.5,232491.2,232794.1,69451.3,70158.8,16414.4,16731.9,53037,53426.9,320239.9,319930.8,242305.5,243426.1,147292.8,147039.7,79328.9,79124.3,84577.7,84702,23918.8,24021.8,8515.2,14289.4
Mar-83,918204.5,922890.6,633086.2,636722,285118.3,286168.7,849133.3,852317.6,616771.5,619272.3,232361.8,233045.3,69071.3,70573,16314.7,17449.7,52756.6,53123.4,319549,319566.3,241964.7,242083.6,146046.2,147679.6,79037.3,79466.6,84538,86212.9,23980.7,24726.3,8596.7,14388.2
Apr-83,917209.5,914505,632103.4,632569.1,285106.1,281936,848513.6,848278.5,615874.7,616697.3,232638.9,231581.2,68695.9,66226.5,16228.7,15871.8,52467.2,50354.8,318938.1,322460.7,242129.9,238056.8,145296,143898.3,78871.9,78657,84694.5,84054.8,24079.6,24035.6,8716.6,14511
May-83,917711.5,916475.7,632187.4,630229.9,285524.1,286245.8,849307.3,848452.1,616023.8,613892.1,233283.5,234560,68404.2,68023.7,16163.6,16337.8,52240.6,51685.8,318317.8,318623,242710.4,241611.9,145276.1,144207.9,78801.2,79776.5,84942.2,84972.2,24206.7,23916.3,8832.7,14672.4
Jun-83,919642.8,919475.3,633349.1,633027.7,286293.7,286447.6,851480.9,850020.9,617279.4,616908.7,234201.4,233112.2,68161.9,69454.4,16069.7,16119,52092.2,53335.4,317886.6,317039.4,243635,244085.3,146049.7,146696.8,78798.2,78117.4,85201.4,85298.5,24337.6,24567.8,8922.7,14867.4
Jul-83,922841.3,921669,635457.3,634566,287384,287103,854815.5,853609.4,619516.6,618696.5,235298.8,234913,68025.8,68059.6,15940.6,15869.6,52085.2,52190,317910.6,317566.3,244828.2,246016.3,147336.7,145581.8,78878.9,77883.9,85356.8,85887.4,24470.9,24537.4,8984,15070.6
Aug-83,927295.2,929599.1,638521.1,640269.3,288774.1,289329.9,859257.5,860752.1,622692.5,624113.3,236565,236638.9,68037.7,68847,15828.6,16156,52209.1,52691,318725.3,317702.6,246225.2,245862.5,148889.4,150155.7,79160,80494.9,85386.2,86216.3,24586.2,24665.6,9018.3,15273.7
Sep-83,932708.5,931765,642358,640851.6,290350.4,290913.4,864435.2,866380.3,626558.3,626251.4,237876.9,240128.9,68273.2,65384.7,15799.7,14600.3,52473.5,50784.5,320282.5,320196.8,247795.4,247702,150429.1,151728.4,79668.7,78848.9,85336.6,84675.9,24660.5,24460.4,9037.5,15452.1
Oct-83,938231.3,935734.5,646372.9,645148.7,291858.4,290585.8,869578.6,868070.8,630532.2,629605.9,239046.4,238464.9,68652.7,67663.7,15840.7,15542.8,52812,52120.9,322273.7,321526.3,249405.6,248590.2,151642.4,151141.7,80309.3,80682.4,85307.5,84402.3,24684.5,24733.3,9037.3,15599.8
