"REGION","MONTH.YEAR","VALUE"
"Victoria...Trend","Mar-23",495069.6
"Victoria...Trend","Apr-23",497412.4
"Victoria...Trend","May-23",498664.4
"Victoria...Trend","Jun-23",498755.4
"Victoria...Trend","Jul-23",497821.6
"Victoria...Trend","Aug-23",496223.9
"Victoria...Trend","Sep-23",494254.8
"Victoria...Trend","Oct-23",492542.9
"Victoria...Trend","Nov-23",491745.3
"Victoria...Trend","Dec-23",492227.6
"Victoria...Trend","Jan-24",493766.6
"Victoria...Trend","Feb-24",495757.1
"Victoria...Trend","Mar-24",497890.9
"Victoria...Trend","Apr-24",499969
"Victoria...Trend","May-24",501800.7
"Victoria...Trend","Jun-24",503381.4
"Victoria...Trend","Jul-24",504824.8
"Victoria...Trend","Aug-24",506267.4
"Queensland...Trend","Jan-14",331769.1
"Queensland...Trend","Feb-14",331854.6
"Queensland...Trend","Mar-14",332114.5
"Queensland...Trend","Apr-14",332296.4
"Queensland...Trend","May-14",332247.5
"Queensland...Trend","Jun-14",331880.4
"Queensland...Trend","Jul-14",331120
"Queensland...Trend","Aug-14",330079.5
"Queensland...Trend","Sep-14",329158.7
"Queensland...Trend","Oct-14",328795.5
"Queensland...Trend","Nov-14",329028.2
"Queensland...Trend","Dec-14",329804.7
"Queensland...Trend","Jan-15",330991.6
"Queensland...Trend","Feb-15",332321.1
"Queensland...Trend","Mar-15",333348.7
"Queensland...Trend","Apr-15",333894.8
"Queensland...Trend","May-15",334129.9
"Queensland...Trend","Jun-15",334289.2
"Queensland...Trend","Jul-15",334605.5
"Queensland...Trend","Aug-15",335184.2
"Queensland...Trend","Sep-15",335910.3
"Queensland...Trend","Oct-15",336642.5
"Queensland...Trend","Nov-15",337061.2
"Queensland...Trend","Dec-15",337081.4
"Queensland...Trend","Jan-16",336683.5
"Queensland...Trend","Feb-16",336110.4
"Queensland...Trend","Mar-16",335686
"Queensland...Trend","Apr-16",335485.1
"Queensland...Trend","May-16",335303.4
"Queensland...Trend","Jun-16",335025.6
"Queensland...Trend","Jul-16",334565.1
"Queensland...Trend","Aug-16",333984.1
"Queensland...Trend","Sep-16",333495.6
"Queensland...Trend","Oct-16",333365.4
"Queensland...Trend","Nov-16",333642
"Queensland...Trend","Dec-16",334517.5
"Queensland...Trend","Jan-17",335933.1
"Queensland...Trend","Feb-17",337850.1
"Queensland...Trend","Mar-17",339958.3
"Queensland...Trend","Apr-17",341879.4
"Queensland...Trend","May-17",343491.5
"Queensland...Trend","Jun-17",344849.9
"Queensland...Trend","Jul-17",346038.2
"Queensland...Trend","Aug-17",347196.4
"Queensland...Trend","Sep-17",348274.6
"Queensland...Trend","Oct-17",349165.9
"Queensland...Trend","Nov-17",349539
"Queensland...Trend","Dec-17",349292.9
"Queensland...Trend","Jan-18",348572.3
"Queensland...Trend","Feb-18",347902.8
"Queensland...Trend","Mar-18",347499.6
"Queensland...Trend","Apr-18",347420.4
"Queensland...Trend","May-18",347645.4
"Queensland...Trend","Jun-18",347914
"Queensland...Trend","Jul-18",348066.2
"Queensland...Trend","Aug-18",348152.9
"Queensland...Trend","Sep-18",348412.3
"Queensland...Trend","Oct-18",349230.8
"Queensland...Trend","Nov-18",350559.5
"Queensland...Trend","Dec-18",352314.9
"Queensland...Trend","Jan-19",354033.3
"Queensland...Trend","Feb-19",355356.5
"Queensland...Trend","Mar-19",355956.8
"Queensland...Trend","Apr-19",355876.2
"Queensland...Trend","May-19",355389.3
"Queensland...Trend","Jun-19",354817.1
"Queensland...Trend","Jul-19",354540.5
"Queensland...Trend","Aug-19",354637.2
"Queensland...Trend","Sep-19",354862.4
"Queensland...Trend","Oct-19",354960.7
"Queensland...Trend","Nov-19",354585.5
"Queensland...Trend","Dec-19",353738.7
"Queensland...Trend","Jan-20",352661.5
"Queensland...Trend","Feb-20",352147.9
"Queensland...Trend","Mar-20",352445.4
"Queensland...Trend","Apr-20",323290.7
"Queensland...Trend","May-20",324654.7
"Queensland...Trend","Jun-20",326427.3
"Queensland...Trend","Jul-20",328402.5
"Queensland...Trend","Aug-20",344574.4
"Queensland...Trend","Sep-20",346803.5
"Queensland...Trend","Oct-20",349094.6
"Queensland...Trend","Nov-20",351105.5
"Queensland...Trend","Dec-20",352587.2
"Queensland...Trend","Jan-21",353356.3
"Queensland...Trend","Feb-21",368812.4
"Queensland...Trend","Mar-21",368917.8
"Queensland...Trend","Apr-21",369057.1
"Queensland...Trend","May-21",369131.5
"Queensland...Trend","Jun-21",368994
"Queensland...Trend","Jul-21",368616.9
"Queensland...Trend","Aug-21",368207.2
"Queensland...Trend","Sep-21",368185.9
"Queensland...Trend","Oct-21",368897
"Queensland...Trend","Nov-21",370175.3
"Queensland...Trend","Dec-21",371995
"Queensland...Trend","Jan-22",374019.2
"Queensland...Trend","Feb-22",376083.9
"Queensland...Trend","Mar-22",378133.9
"Queensland...Trend","Apr-22",380021.2
"Queensland...Trend","May-22",381610.7
"Queensland...Trend","Jun-22",383086.2
"Queensland...Trend","Jul-22",384313.8
"Queensland...Trend","Aug-22",385227.1
"Queensland...Trend","Sep-22",385769.4
"Queensland...Trend","Oct-22",386268.4
"Queensland...Trend","Nov-22",386975.8
"Queensland...Trend","Dec-22",388131.7
"Queensland...Trend","Jan-23",389719.6
"Queensland...Trend","Feb-23",391659.1
"Queensland...Trend","Mar-23",393513.8
"Queensland...Trend","Apr-23",394658.3
"Queensland...Trend","May-23",394858.1
"Queensland...Trend","Jun-23",394161.2
"Queensland...Trend","Jul-23",393037.8
"Queensland...Trend","Aug-23",392064.7
"Queensland...Trend","Sep-23",391493.4
"Queensland...Trend","Oct-23",391591.8
"Queensland...Trend","Nov-23",392233
"Queensland...Trend","Dec-23",393422.7
"Queensland...Trend","Jan-24",395016.1
"Queensland...Trend","Feb-24",397031.7
"Queensland...Trend","Mar-24",399236.2
"Queensland...Trend","Apr-24",401304
"Queensland...Trend","May-24",402957.6
"Queensland...Trend","Jun-24",404028.7
"Queensland...Trend","Jul-24",404722
"Queensland...Trend","Aug-24",405259.4
"South.Australia...Trend","Jan-14",109116.4
"South.Australia...Trend","Feb-14",109274.6
"South.Australia...Trend","Mar-14",109506.7
"South.Australia...Trend","Apr-14",109840.8
"South.Australia...Trend","May-14",110259.4
"South.Australia...Trend","Jun-14",110719.7
"South.Australia...Trend","Jul-14",111092.2
"South.Australia...Trend","Aug-14",111273.2
"South.Australia...Trend","Sep-14",111222.4
"South.Australia...Trend","Oct-14",110977.5
"South.Australia...Trend","Nov-14",110591.5
"South.Australia...Trend","Dec-14",110144
"South.Australia...Trend","Jan-15",109684.9
"South.Australia...Trend","Feb-15",109243.1
"South.Australia...Trend","Mar-15",108814.8
"South.Australia...Trend","Apr-15",108392.4
"South.Australia...Trend","May-15",108005.4
